Product_id,Product_name,Slope Theshold,Irrigated,Dry,Vulnerable,Dosis Max N ,Source,condición,,
61,ALHOLVA,10,125,90,60,125,"""Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)""",no,,
62,PASTOS PERMANENTES DE 5 O MÁS AÑOS,10,300,200,130,300,Prados permanentes o anuales,no,,
63,PASTOS DE MENOS DE 5 AÑOS,10,300,200,130,300,Prados permanentes o anuales,no,,
64,PASTIZAL DE 5 O MÁS AÑOS,10,300,200,130,300,Prados permanentes o anuales,no,,
65,PASTO ARBUSTIVO DE 5 O MÁS AÑOS,10,300,200,130,300,Prados permanentes o anuales,no,,
66,PASTO ARBOLADO DE 5 O MÁS AÑOS,10,300,200,130,300,Prados permanentes o anuales,no,,
67,ESPARCETA,10,300,200,130,300,Prados permanentes o anuales,no,,
68,FESTUCA,10,350,210,,350,"Gramíneas de invierno forrajeras (avena,
triticale, etc.) excepto raigrás",no,,
69,RAYGRASS PERENNE,10,400,210,,400,Raigrás,no,,
70,AGROSTIS,10,350,210,,350,"Gramíneas de invierno forrajeras (avena,
triticale, etc.) excepto raigrás",no,,
71,ARRHENATHERUM,10,350,210,,350,"Gramíneas de invierno forrajeras (avena,
triticale, etc.) excepto raigrás",no,,
72,DACTILO,10,350,210,,350,"Gramíneas de invierno forrajeras (avena,
triticale, etc.) excepto raigrás",no,,
73,FLEO,10,350,210,,350,"Gramíneas de invierno forrajeras (avena,
triticale, etc.) excepto raigrás",no,,
74,POA,10,350,210,,350,"Gramíneas de invierno forrajeras (avena,
triticale, etc.) excepto raigrás",no,,
76,ZULLA,10,300,200,130,300,Prados permanentes o anuales,no,,
77,TRÉBOL,10,300,200,130,300,Prados permanentes o anuales,no,,
78,RAYGRASS ANUAL,10,170,400,170,,Raigrás,no,,
80,ARROZ,10,170,,,170,arroz,no,,
81,ALGODÓN,10,170,120,90,170,"Otros cultivos extensivos (nabos, lino, etc.)",no,,
82,REMOLACHA,10,170,120,90,170,"Otros cultivos extensivos (nabos, lino, etc.)",no,,
83,TABACO,10,170,250,170,,,no,,
84,LÚPULO,10,170,250,170,,,no,,
85,LINO,10,170,170,170,,,no,,
86,CÁÑAMO,10,170,120,90,170,"Otros cultivos extensivos (nabos, lino, etc.)",no,,
87,CACAHUETE,10,170,120,90,170,"Otros cultivos extensivos (nabos, lino, etc.)",no,,
88,CÁRTAMO,10,170,120,90,170,"Otros cultivos extensivos (nabos, lino, etc.)",no,,
89,CHUFA,10,170,120,90,170,"Otros cultivos extensivos (nabos, lino, etc.)",no,,
90,REGALIZ,10,170,250,170,,,no,,
91,FLORES,10,170,250,170,,,no,,
92,ROMANESCU,10,280,,,280,"Brasicáceas (col, coliflor,
brócoli, etc.)",no,,
93,LINO NO TEXTIL,10,170,120,90,170,"Otros cultivos extensivos (nabos, lino, etc.)",no,,
96,ESPECIES AROMÁTICAS HERBÁCEAS,10,170,250,170,,,no,,
97,SETAS,10,170,250,170,,,no,,
98,PIMIENTO PARA PIMENTÓN,10,350,,,350,Pimiento invernadero,no,,
99,PATATA,10,220,,,220,,no,,
101,OLIVO,10,130,85,60,130,,no,,
102,VIÑA,10,100,70,50,100,vina,no,,
103,UVA DE MESA,10,100,70,50,100,vina,no,,
104,ALMENDRO,10,130,85,60,130,,no,,
105,MELOCOTONERO,10,150,90,,150,"Frutales de hueso y de
pepita",no,,
106,NECTARINO,10,150,90,,150,Frutales de hueso y de pepita,no,,
107,ALBARICOQUERO,10,150,90,,150,Frutales de hueso y de pepita,no,,
108,PERAL,10,150,90,,150,Frutales de hueso y de pepita,no,,
109,MANZANO,10,150,90,,150,Frutales de hueso y de pepita,no,,
110,CEREZO,10,150,90,,150,Frutales de hueso y de pepita,no,,
111,CIRUELO,10,150,90,,150,Frutales de hueso y de pepita,no,,
112,NOGAL,10,170,110,80,170,,no,,
113,OTROS FRUTALES,10,170,210,170,,,no,,
114,SUPERFICIES FORESTALES MADERABLES,10,170,100,,100,Otros cultivos leñosos,no,,
115,OTRAS SUPERFICIES FORESTALES,10,170,100,,100,Otros cultivos leñosos,no,,
116,CHOPO,10,130,100,,130,,no,,
117,CASTAÑO,10,170,170,170,,,no,,
118,ESPECIES AROMÁTICAS LEÑOSAS,10,170,100,,100,Otros cultivos leñosos,no,,
119,VIVERO - PRODUCTOR MVR,10,170,250,170,,,no,,
120,VIÑA - OLIVAR,10,100,70,50,100,,no,,
121,BONIATO,10,170,170,170,,,no,,
122,ALGARROBO,10,100,70,50,100,,no,,
123,AVELLANO,10,130,85,60,130,,no,,
124,PISTACHO,10,130,85,60,130,pistachio,no,,
125,FRUTOS DE CÁSCARA,10,170,210,170,,,no,,
138,ADORMIDERA,10,170,250,170,,,no,,
139,HIERBA CINTA,10,350,210,,350,"Gramíneas de invierno forrajeras (avena,
triticale, etc.) excepto raigrás",no,,
140,ABACA ALIAS MANILA,10,170,170,170,,,no,,
141,KENAF,10,170,170,170,,,no,,
142,YUTE,10,170,170,170,,,no,,
143,SISAL,10,170,170,170,,,no,,
144,PINOS PIÑONEROS,10,170,150,170,,,no,,
145,RESTO DE PINOS (NO PIÑONEROS),10,170,170,170,,,no,,
146,ARBOLES DE NAVIDAD,10,170,170,170,,,no,,
147,ENCINA,10,170,170,170,,,no,,
148,BELLOTA,10,170,170,170,,,no,,
149,ZARZAMORA,10,170,150,170,,,no,,
150,Otras utilizaciones no agrarias ni forestales,10,#N/A,#N/A,170,,#N/A,#N/A,,
151,PUERRO,10,220,,,,"Porro, ajo, calçot",no,,
152,PIMIENTO,10,350,,,350,Pimiento invernadero,no,,
153,MELÓN,10,350,,,350,"Cucurbitáceas, aire libre",no,,
154,BRÓCOLI,10,280,,,280,"Brasicáceas (col, coliflor,
brócoli, etc.)",no,,
155,LECHUGA,10,150,,,150,"Lechuga, escarola",no,,
156,SANDÍA,10,350,,,350,"Cucurbitáceas, aire libre",no,,
157,CEBOLLA,10,220,,,220,cebolla,no,,
158,APIO,10,280,,,280,Apio,no,,
159,COLIRRÁBANO,10,190,,,190,"Brasicáceas (col, coliflor,
brócoli, etc.)",no,,
160,COLIFLOR,10,280,,,280,"Brasicáceas (col, coliflor,
brócoli, etc.)",no,,
162,BERENJENA,10,300,,,300,,no,,
163,CALABACÍN,10,350,,,350,"Cucurbitáceas, aire libre",no,,
164,ALCACHOFA,10,270,,,270,Alcachofa,no,,
165,PEPINO,10,350,,,350,"Cucurbitáceas, aire libre",no,,
166,ACELGA,10,150,,,150,"Acelgas, espinacas",no,,
167,CEBOLLETA,10,220,,,220,Cebolla,no,,
168,CHALOTA,10,220,,,220,Cebolla,no,,
169,AJO,10,220,,,,"Porro, ajo, calçot",no,,
170,COL,10,280,,,280,"Brasicáceas (col, coliflor,
brócoli, etc.)",no,,
171,CHIRIVÍA,10,280,,,280,"Hinojo, perejil, zanahoria (Fennel, Parsley, Carrot):",no,,
172,REPOLLO,10,280,170,,280,"Brasicáceas (col, coliflor, brócoli, etc.)",no,,
173,COL ROJA O LOMBARDA,10,280,170,,280,"Brasicáceas (col, coliflor, brócoli, etc.)",no,,
174,COL MILÁN,10,280,170,,280,"Brasicáceas (col, coliflor, brócoli, etc.)",no,,
175,BERZA,10,280,,,280,"Brasicáceas (col, coliflor,
brócoli, etc.)",no,,
176,COL DE BRUSELAS,10,280,170,,280,"Brasicáceas (col, coliflor, brócoli, etc.)",no,,
177,ENDIVIA,10,150,,,150,"Lechuga, escarola",no,,
178,ZANAHORIA,10,280,,,280,"Hinojo, perejil, zanahoria (Fennel, Parsley, Carrot):",no,,
179,NABO,10,280,,,280,"Brasicáceas (col, coliflor,
brócoli, etc.)",no,,
180,JUDÍA,10,170,200,170,,,no,,
181,ACHICORIA,10,150,,,150,"Lechuga, escarola",no,,
182,GUINDILLA,10,350,,,350,Pimiento invernadero,no,,
183,ESPINACA,10,150,,,150,"Acelgas, espinacas",no,,
184,CARDO,10,170,,170,,,no,,
185,CALABAZA,10,350,,,350,"Cucurbitáceas, aire libre",no,,
186,CALABAZA DEL PEREGRINO,10,350,,,350,"Cucurbitáceas, aire libre",no,,
187,BORRAJA,10,250,,,250,Otros hortícolas,no,,
188,PEPINILLOS,10,350,,,350,"Cucurbitáceas, aire libre",no,,
189,ESCAROLA,10,150,,,150,"Lechuga, escarola",no,,
190,RÁBANO,10,190,,,190,"Brasicáceas (col, coliflor,
brócoli, etc.)",no,,
191,BERRO DE AGUA,10,280,,,280,"Brasicáceas (col, coliflor,
brócoli, etc.)",no,,
192,FRAMBUESA,10,170,150,170,,,no,,
193,HUERTA,10,#N/A,#N/A,170,,#N/A,#N/A,,
194,CHAMPIÑÓN,10,170,,170,,,no,,
197,TOMATE,10,450,,,450,"Tomate, invernadero",no,,
198,TOMATE PARA TRANSFORMACIÓN,10,450,,,450,"Tomate, invernadero",no,,
199,PINOS,10,#N/A,#N/A,170,,#N/A,#N/A,,
200,PAULONIA,10,170,170,170,,,no,,
201,PLATERINA,10,170,150,170,,,no,,
202,PARAGUAYO,10,170,150,170,,,no,,
203,ENDRINO o ARAÑÓN,10,170,150,170,,,no,,
204,CLEMENTINA,10,210,,,210,Citricos,no,,
205,SATSUMA,10,210,,,210,Citricos,no,,
206,NARANJO,10,210,,,210,Cítricos,no,,
207,LIMONERO,10,210,,,210,Cítricos,no,,
208,POMELO,10,210,,,210,Cítricos,no,,
209,MANDARINO,10,210,,,210,Cítricos,no,,
210,MANDARINO HÍBRIDO,10,210,,,210,Cítricos,no,,
211,MEMBRILLO,10,150,90,,150,"Frutales de hueso y de
pepita",no,,
212,KIWI,10,150,90,,150,"Frutales de hueso y de
pepita",no,,
213,CAQUI o PALOSANTO,10,150,90,,150,"Frutales de hueso y de
pepita",no,,
214,NÍSPERO,10,150,90,,150,"Frutales de hueso y de
pepita",no,,
215,GROSELLERO,10,150,90,,150,"Frutales de hueso y de
pepita",no,,
216,ARÁNDANO,10,150,90,,150,"Frutales de hueso y de
pepita",no,,
217,GRANADO,10,170,100,,100,Otros cultivos leñosos,no,,
218,HIGUERA,10,170,100,,100,Otros cultivos leñosos,no,,
219,FRESA,10,300,,,300,,no,,
220,CAÑA DE AZÚCAR,10,170,,170,,,no,,
221,UVA PASA,10,100,70,50,100,vina,no,,
222,QUINOA,10,170,120,90,170,Cereales de primavera,no,,
223,MISCANTHUS,10,350,210,,350,"Gramíneas de invierno forrajeras (avena,
triticale, etc.) excepto raigrás",no,,
224,HUAXYACAC,10,#N/A,#N/A,170,,#N/A,#N/A,,
225,EUCALIPTO,10,170,170,170,,,no,,
226,OPUNTIA,10,170,100,,100,Otros cultivos leñosos,no,,
227,SAUCE,10,170,100,,100,Otros cultivos leñosos,no,,
228,ACACIA,10,170,100,,100,Otros cultivos leñosos,no,,
229,AILANTO,10,170,100,,100,Otros cultivos leñosos,no,,
230,ROBINIA,10,170,100,,100,Otros cultivos leñosos,no,,
231,ACACIA DE TRES ESPINAS,10,170,100,,100,Otros cultivos leñosos,no,,
232,JACARANDA,10,170,100,,100,Otros cultivos leñosos,no,,
233,FITOLACA,10,170,100,,100,Otros cultivos leñosos,no,,
234,CASTAÑO (FORESTAL),10,170,100,,100,Otros cultivos leñosos,no,,
235,JATROPHA,10,170,210,170,,,no,,
236,CAÑA COMÚN,10,170,100,,100,Otros cultivos leñosos,no,,
237,SUPERFICIES FORESTALES DE ROTACIÓN CORTA,10,170,100,,100,Otros cultivos leñosos,no,,
238,ALTRAMUZ AMARILLO,10,125,90,60,125,"""Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)""",no,,
239,ALMORTA,10,125,90,60,125,"""Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)""",no,,
240,TITARROS,10,125,90,60,125,"""Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)""",no,,
241,MEZCLA AVENA-VEZA,10,125,90,60,125,"Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)",no,,
242,MEZCLA TRITICALE-VEZA,10,125,90,60,125,"Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)",no,,
243,MEZCLA TRIGO-VEZA,10,125,90,60,125,"Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)",no,,
244,MEZCLA CEBADA-VEZA,10,125,90,60,125,"Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)",no,,
245,MEZCLA AVENA-ZULLA,10,350,210,,350,"Gramíneas de invierno forrajeras (avena,
triticale, etc.) excepto raigrás",no,,
246,MEZCLA CEBADA-ZULLA,10,350,210,,350,"Gramíneas de invierno forrajeras (avena,
triticale, etc.) excepto raigrás",no,,
247,CULTIVOS MIXTOS DE ESPECIES PRATENSES,10,350,210,,350,"Gramíneas de invierno forrajeras (avena,
triticale, etc.) excepto raigrás",no,,
248,ALGARROBA,10,125,90,60,125,"""Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)""",no,,
249,ALVERJA,10,125,90,60,125,"""Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)""",no,,
250,ALBERJÓN,10,125,90,60,125,"""Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)""",no,,
251,AJEDREA,10,250,,,250,Otros hortícolas,no,,
252,CILANTRO,10,250,,,250,Otros hortícolas,no,,
253,ANÍS DULCE,10,250,,,250,Otros hortícolas,no,,
254,ENELDO,10,250,,,250,Otros hortícolas,no,,
255,MANZANILLA,10,250,,,250,Otros hortícolas,no,,
256,VALERIANA,10,250,,,250,Otros hortícolas,no,,
257,ARTEMISA,10,250,,,250,Otros hortícolas,no,,
258,GENCIANA,10,250,,,250,Otros hortícolas,no,,
259,HISOPO,10,250,,,250,Otros hortícolas,no,,
260,HINOJO,280,,,280,,Otros hortícolas,no,,
261,PEREJIL,10,250,,,250,Otros hortícolas,no,,
262,AZAFRÁN,10,250,,,250,Otros hortícolas,no,,
263,TOMILLO,10,250,,,250,Otros hortícolas,no,,
264,ALBAHACA,10,250,,,250,Otros hortícolas,no,,
265,MELISA O TORONJIL,10,250,,,250,Otros hortícolas,no,,
266,MENTA,10,250,,,250,Otros hortícolas,no,,
267,ORÉGANO,10,250,,,250,Otros hortícolas,no,,
268,SALVIA,10,250,,,250,Otros hortícolas,no,,
269,PERIFOLLO,10,250,,,250,Otros hortícolas,no,,
270,ESTRAGÓN,10,250,,,250,Otros hortícolas,no,,
271,MEJORANA,10,250,,,250,Otros hortícolas,no,,
272,CALÉNDULA,10,250,,,250,Otros hortícolas,no,,
273,COMINO,10,250,,,250,Otros hortícolas,no,,
274,ESTEVIA,10,170,170,170,,,no,,
275,HIPÉRICO,10,250,,,250,Otros hortícolas,no,,
276,HIERBABUENA,10,250,,,250,Otros hortícolas,no,,
277,VERBENA,10,250,,,250,Otros hortícolas,no,,
278,FRUTOS DEL BOSQUE,10,170,300,170,,,no,,
279,ESPÁRRAGO,10,250,,,250,Otros horticolas,no,,
280,TRUFA,10,250,,,250,Otros hortícolas,no,,
281,LAVANDA,10,250,,,250,Otros hortícolas,no,,
282,LAVANDÍN,10,250,,,250,Otros hortícolas,no,,
283,ALCAPARRA,10,250,,,250,Otros hortícolas,no,,
284,AJENJO,10,250,,,250,Otros hortícolas,no,,
285,ESPLIEGO,10,250,,,250,Otros hortícolas,no,,
286,HELICRISO,10,250,,,250,Otros hortícolas,no,,
287,HIERBALUISA,10,250,,,250,Otros hortícolas,no,,
288,ROMERO,10,250,,,250,Otros hortícolas,no,,
289,SANTOLINA,10,250,,,250,Otros hortícolas,no,,
290,ALOE VERA,10,250,,,250,Otros hortícolas,no,,
291,CAFÉ,10,250,,,250,Otros hortícolas,no,,
292,GROSELLA NEGRA,10,170,300,170,,,no,,
293,ROBLE,10,250,,,250,Otros hortícolas,no,,
294,HAYA,10,250,,,250,Otros hortícolas,no,,
295,ALCORNOQUE,10,250,,,250,Otros hortícolas,no,,
296,ABETO,10,250,,,250,Otros hortícolas,no,,
297,ENEBRO,10,250,,,250,Otros hortícolas,no,,
298,MEZCLA CEBADA-GUISANTE,10,125,90,60,125,"Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)",no,,
299,MEZCLA AVENA-GUISANTE,10,125,90,60,125,"Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)",no,,
300,SABINA,10,250,,,250,Otros hortícolas,no,,
301,PINSAPO,10,250,,,250,Otros hortícolas,no,,
302,MEZCLA EN MÁRGENES MULTIFUNCIONALES,10,250,,,250,Otros hortícolas,no,,
303,MEZCLA DE RESERVORIOS,10,250,,,250,Otros hortícolas,no,,
304,COL CHINA,10,280,,,280,"Brasicáceas (col, coliflor,
brócoli, etc.)",no,,
305,MEZCLA AVENA-TRIGO,10,170,210,170,,,no,,
306,MEZCLA AVENA-CEBADA,10,170,210,170,,,no,,
307,MEZCLA AVENA-TRITICALE,10,170,350,170,,,no,,
308,AGRIMONIA,10,250,,,250,Otros hortícolas,no,,
309,BARDANA,10,250,,,250,Otros hortícolas,no,,
310,DIENTE DE LEÓN,10,250,,,250,Otros hortícolas,no,,
311,ENULA,10,250,,,250,Otros hortícolas,no,,
312,EQUINACEA,10,250,,,250,Otros hortícolas,no,,
313,GINSENG,10,250,,,250,Otros hortícolas,no,,
315,LLANTÉN,10,250,,,250,Otros hortícolas,no,,
316,MALVAVISCO,10,250,,,250,Otros hortícolas,no,,
317,MANZANILLA AMARGA,10,250,,,250,Otros hortícolas,no,,
318,MANZANILLA DULCE,10,250,,,250,Otros hortícolas,no,,
319,MILENRAMA,10,250,,,250,Otros hortícolas,no,,
320,POLEO,10,250,,,250,Otros hortícolas,no,,
321,RÁBANO NEGRO,10,280,,,280,"Brasicáceas (col, coliflor,
brócoli, etc.)",no,,
322,ROMPEPIEDRA,10,250,,,250,Otros hortícolas,no,,
323,TRAVALERA,10,250,,,250,Otros hortícolas,no,,
324,VARA DE ORO,10,250,,,250,Otros hortícolas,no,,
325,TRIGO KHORASAN,10,210,170,130,210,Trigo,no,,
326,MAÍZ DULCE,10,250,,,250,Otros horticolas,no,,
327,REMOLACHA DE MESA,10,250,,,250,Otros horticolas,no,,
328,PASTO DEL SUDÁN,10,350,210,,350,"Gramíneas de invierno forrajeras (avena,
triticale, etc.) excepto raigrás",no,,
329,AMARANTO,10,250,,,250,Otros hortícolas,no,,
330,ELEMENTO DEL PAISAJE,10,250,,,250,Otros hortícolas,no,,
331,MORINGA,10,250,,,250,Otros hortícolas,no,,
332,MOSTAZA,10,170,120,90,170,"Otros cultivos extensivos (nabos, lino, etc.)",no,,
333,PORTAINJERTOS DE VID,10,170,100,170,,,no,,
334,BARBECHO DE BIODIVERSIDAD (INCLUYE MELÍFERAS),10,170,170,170,,,no,,
335,CABECERA DE CULTIVO PERMANENTE,10,170,170,170,,,no,,
336,MEZCLA ALGARROBA-AVENA,10,350,210,,350,"Gramíneas de invierno forrajeras (avena,
triticale, etc.) excepto raigrás",no,,
337,MEZCLA ALGARROBA-CEBADA,10,170,210,170,,,no,,
338,MEZCLA RAYGRASS-VEZA,10,125,90,60,125,"Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)",no,,
339,MEZCLA AVENA-YEROS,10,125,90,60,125,"Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)",no,,
340,MEZCLA CEBADA-YEROS,10,125,90,60,125,"Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)",no,,
341,SILPHIUM,10,170,170,170,,,no,,
342,OTRAS MEZCLAS CON PREDOMINANCIA CFN,10,170,170,170,,,no,,
343,AGUACATE,10,170,100,,100,Otros cultivos leñosos,no,,
344,MANGO,10,150,90,,150,"Frutales de hueso y de
pepita",no,,
345,CHIRIMOYO,10,150,90,,150,"Frutales de hueso y de
pepita",no,,
346,PAPAYA,10,150,90,,150,"Frutales de hueso y de
pepita",no,,
347,MORERA,10,150,90,,150,"Frutales de hueso y de
pepita",no,,
348,VIÑA - FRUTAL,10,100,70,50,100,,no,,
349,OLIVAR - FRUTAL,10,170,130,170,,,no,,
350,RASTROJERAS,10,170,170,170,,,no,,
351,CÍTRICOS HÍBRIDOS-CAQUI,10,210,,,210,,no,,
352,NARANJO-AGUACATE,10,170,210,170,,,no,,
353,CEREZO-OLIVAR,10,130,85,60,130,Olivar,no,,
354,CEREZO-ALGARROBO,10,170,100,170,,,no,,
355,RICINO,10,170,210,170,,,no,,
356,NARANJO AMARGO,10,210,,,210,Cítricos,no,,
357,CÁÑAMO NO TEXTIL,10,170,120,90,170,"Otros cultivos extensivos (nabos, lino, etc.)",no,,
358,MEZCLA DE FORESTALES,10,170,170,170,,,no,,
359,HIERBA DE GUINEA,10,350,210,,350,"Gramíneas de invierno forrajeras (avena,
triticale, etc.) excepto raigrás",no,,
360,ABEDUL,10,170,100,,100,Otros cultivos leñosos,no,,
361,ABETO DE DOUGLAS,10,170,100,,100,Otros cultivos leñosos,no,,
362,ACEBO,10,170,100,,100,Otros cultivos leñosos,no,,
363,ACEBUCHE,10,130,85,60,130,Olivar,no,,
364,ÁLAMO,10,170,100,,100,Otros cultivos leñosos,no,,
365,ALANTICO o LANTISCO,10,170,100,,100,Otros cultivos leñosos,no,,
366,ALERCE,10,170,100,,100,Otros cultivos leñosos,no,,
367,ALISO,10,170,100,,100,Otros cultivos leñosos,no,,
368,ALMÁCIGO DE CANARIAS,10,170,100,,100,Otros cultivos leñosos,no,,
369,ALMEZ,10,170,100,,100,Otros cultivos leñosos,no,,
370,ARCE,10,170,100,,100,Otros cultivos leñosos,no,,
371,CARPE,10,170,100,,100,Otros cultivos leñosos,no,,
372,CEDRO,10,170,100,,100,Otros cultivos leñosos,no,,
373,CHAPARRO,10,170,100,,100,Otros cultivos leñosos,no,,
374,CHÍA,10,170,120,90,170,"Otros cultivos extensivos (nabos, lino, etc.)",no,,
375,CIPRÉS,10,170,170,170,,,no,,
376,FRESNO,10,170,170,170,,,no,,
377,MADROÑO,10,170,300,170,,,no,,
378,OLMO,10,170,170,170,,,no,,
379,PALMA CANARIA,10,170,170,170,,,no,,
380,PICEA,10,170,170,170,,,no,,
381,QUEJIGO,10,170,170,170,,,no,,
382,REBOLLO,10,170,170,170,,,no,,
383,RETAMA,10,170,170,170,,,no,,
384,SERBAL,10,170,170,170,,,no,,
385,TALAYA,10,170,170,170,,,no,,
386,TEJO,10,170,170,170,,,no,,
387,TILO,10,170,170,170,,,no,,
388,YUCA,10,170,170,170,,,no,,
389,PINO,10,170,170,170,,,no,,
390,HABONCILLO,10,125,90,60,125,"Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)",no,,
391,CEREZO DE MAHOMA,10,150,90,,150,"Frutales de hueso y de
pepita",no,,
392,MEZCLA ALUBIA-MAÍZ,10,170,170,170,,,no,,
393,ESCANDA,10,210,170,130,210,Trigo,no,,
394,ESCAÑA,10,210,170,130,210,Trigo,no,,
395,PANIZO,10,170,120,90,170,Cereales de primavera,no,,
397,JUDÍA ESCARLATA,10,200,,,200,Judia,no,,
398,RAMIO,10,170,170,170,,,no,,
399,SÉSAMO,10,170,120,90,170,"Otros cultivos extensivos (nabos, lino, etc.)",no,,
400,FORESTACIONES VINCULADAS AL REGLAMENTO 2080/1992,10,170,170,170,,,no,,
401,CEBOLLINO,10,220,,,,"Porro, ajo, calçot",no,,
402,ACEDERILLA,10,250,,,250,Otros horticolas,no,,
403,ANÍS ESTRELLADO,10,170,170,170,,,no,,
404,BOTÓN DE ORO,10,170,170,170,,,no,,
405,AJOWAN,10,170,170,170,,,no,,
406,CHUPAMIELES,10,170,170,170,,,no,,
409,DEDALERA O DIGITAL,10,170,170,170,,,no,,
410,CICUTA,10,170,170,170,,,no,,
411,JABONERA,10,170,170,170,,,no,,
412,MALVA COMÚN,10,170,170,170,,,no,,
413,PULMONARIA,10,170,170,170,,,no,,
414,CARDO DE FULLER,10,170,170,170,,,no,,
415,TÁRTAGO,10,170,210,170,,,no,,
416,PATACA,10,270,,,270,Alcachofa,no,,
417,CANÓNIGO,10,250,,,250,Otros horticolas,no,,
418,ACEDERA,10,250,,,250,Otros horticolas,no,,
419,BERRO HORTELANO,10,280,,,280,"Brasicáceas (col, coliflor,
brócoli, etc.)",no,,
420,RUIBARBO,10,250,,,250,Otros horticolas,no,,
421,VERDOLAGA,10,250,,,250,Otros horticolas,no,,
422,KIWANO,10,350,,,350,"Cucurbitáceas, aire libre",no,,
423,TOMATILLO,10,400,,,400,tomate,no,,
424,ALCACHOFA CHINA,10,270,,,270,Alcachofa,no,,
425,GALANGA MENOR,10,170,170,170,,,no,,
426,PEREJIL TUBEROSO,10,190,,,190,"Hinojo, perejil, zanahoria",no,,
427,RÁBANO PICANTE,10,190,,,190,"Hinojo, perejil, zanahoria",no,,
428,JUDÍA DE LIMA,10,200,,,200,judia,no,,
429,COLLEJA,10,250,,,250,Otros horticolas,no,,
